NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Rua do Lanche;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rua-do-lanche-centro/d7a5d4b3-54ba-4b02-827c-235295210e8f;abreu-e-lima-pe;Novidade;Lanches;4.5 km;Fechado;R$ 9,99
Moraes Burger;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/moraes-burger-centro/4cb86899-0caf-4608-9a7b-e38b2a3cdc4d;abreu-e-lima-pe;-;Lanches;4.5 km;Fechado;R$ 4,99
Ti Burger;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/ti-burger-centro/9c71e6a3-9e8e-441f-8fa2-4d6980b4edda;abreu-e-lima-pe;Novidade;Hambúrguer;4.5 km;Fechado;R$ 4,99
Mo'vida Salgados;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/movida-salgados-centro/f7d3d433-7af7-48bb-80cd-0b10ead2228f;abreu-e-lima-pe;Novidade;Salgados;4.6 km;Fechado;R$ 9,99
Sushi Net;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/sushi-net-planalto/db2dc0c6-e085-411d-807a-9e2dc955816a;abreu-e-lima-pe;-;Japonesa;4.6 km;Fechado;R$ 7,00
Delicias do Davi Cristiano;Não;https://www.ifood.com.br/delivery/igarassu-pe/delicias-do-davi-cristiano-agamenon-magalhaes/34d898e2-5ea1-4e27-b3f5-786a0316ce05;igarassu-pe;Novidade;Marmita;4.6 km;Fechado;R$ 10,99
Rieli Doceria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rieli-doceria-centro/f1aa7e8d-9a94-4e7a-bf0e-889b06fbd408;abreu-e-lima-pe;Novidade;Doces & Bolos;4.6 km;Fechado;R$ 9,99
Restaurante Mixdog;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/restaurante-mixdog-centro/d23f72e1-402a-4874-a5d6-65fd98e586be;abreu-e-lima-pe;-;Brasileira;4.7 km;Fechado;R$ 8,99
Maricota Burgueria e Pizzaria;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/maricota-burgueria-e-pizzaria-centro/4cfdf70e-d90f-4273-b1f5-776c8573039d;abreu-e-lima-pe;-;Pizza;4.7 km;Fechado;R$ 7,00
Dignus Churros;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/dignus-churros-planalto/f0ecf7d7-e217-4c1b-b812-38cbe71c3b1e;abreu-e-lima-pe;4.8;Lanches;4.7 km;Fechado;R$ 6,00
