NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Yakisoba da Anny;Não;https://www.ifood.com.br/delivery/paulista-pe/yakisoba-da-anny-artur-lundgren-ii/40b53bcd-038d-493d-8490-c7c016e29aab;paulista-pe;Novidade;Chinesa;7.2 km;52-62 min;R$ 19,98
Açaí do Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/acai-do-paulista-paratibe/0c17474f-0b8a-443f-985b-9db5eb7dcef9;paulista-pe;2.3;Açaí;7.2 km;49-59 min;R$ 17,48
Suzana Kit Festa;Não;https://www.ifood.com.br/delivery/paulista-pe/suzana-kit-festa-artur-lundgren-ii/9e71b3ca-f0b4-4b99-9696-c5b2c175748b;paulista-pe;Novidade;Salgados;7.3 km;47-57 min;R$ 17,48
Bucho Cheio Caldinho e Almoço;Não;https://www.ifood.com.br/delivery/paulista-pe/bucho-cheio-caldinho-e-almoco-artur-lundgren-ii/031a0e95-a264-44e2-b924-3ff3355c32e9;paulista-pe;Novidade;Brasileira;7.4 km;48-58 min;R$ 19,98
Gd Acai Delivery;Não;https://www.ifood.com.br/delivery/paulista-pe/gd-acai-delivery-artur-lundgren-i/94330a25-d5a2-4ac3-9841-695c279085f3;paulista-pe;4.7;Açaí;7.5 km;60-70 min;R$ 8,00
Casa da Pizza;Não;https://www.ifood.com.br/delivery/paulista-pe/casa-da-pizza-artur-lundgren-i/d9b93de7-5cb1-4508-8ce2-2f653eace30c;paulista-pe;5.0;Pizza;7.7 km;47-57 min;R$ 22,99
Burguer Mania;Não;https://www.ifood.com.br/delivery/paulista-pe/burguer-mania-paratibe/1479d71e-ea32-4047-a340-e9592e7c3a98;paulista-pe;Novidade;Lanches;7.9 km;51-61 min;R$ 22,99
Marmitex;Sim;https://www.ifood.com.br/delivery/paulista-pe/marmitex-artur-lundgren-i/3b89112f-fa61-4f6a-8572-a7cadeb4d2c2;paulista-pe;4.7;Marmita;8.0 km;46-56 min;R$ 22,99
Canto do Açaí;Não;https://www.ifood.com.br/delivery/paulista-pe/canto-do-acai-paratibe/3302a055-5c00-4dcd-815b-581dbbe12c82;paulista-pe;4.0;Açaí;8.0 km;45-55 min;R$ 22,99
Nat's Pizzaria Delivery;Não;https://www.ifood.com.br/delivery/paulista-pe/nats-pizzaria-delivery-nossa-senhora-da-conceicao/e09394a0-9cc8-459c-bca0-cd12510b73d3;paulista-pe;Novidade;Pizza;8.1 km;120-130 min;R$ 15,00
Santore;Sim;https://www.ifood.com.br/delivery/paulista-pe/santore-paratibe/4a69a23b-ecc0-4d71-9445-b7595d7a2102;paulista-pe;4.8;Pizza;8.2 km;50-60 min;R$ 14,90
Delicias da Ane;Não;https://www.ifood.com.br/delivery/paulista-pe/delicias-da-ane-artur-lundgren-i/6c826b5b-c6c5-4d3e-a473-0e6972233a61;paulista-pe;-;Pizza;8.2 km;70-80 min;R$ 22,99
Tapiocaria Sabor Divino;Não;https://www.ifood.com.br/delivery/paulista-pe/tapiocaria-sabor-divino-paratibe/cad7449c-c908-4bdf-a57f-4b0b00d7c07f;paulista-pe;Novidade;Saudável;8.2 km;52-62 min;R$ 22,99
 Doces lanches e Almoço Bom Doce Doce;Não;https://www.ifood.com.br/delivery/paulista-pe/doces-lanches-e-almoco-bom-doce-doce-paratibe/86a71283-81d9-4fd8-af5a-812f4a2249a6;paulista-pe;5.0;Lanches;8.3 km;49-59 min;R$ 22,99
Brownie by Santos;Não;https://www.ifood.com.br/delivery/paulista-pe/brownie-by-santos-centro/38b2239f-253f-4669-aae1-72aa00a5772d;paulista-pe;4.1;Doces & Bolos;8.5 km;40-50 min;R$ 19,98
Seu Ariel Restaurante e Doceria;Não;https://www.ifood.com.br/delivery/paulista-pe/seu-ariel-restaurante-e-doceria-centro/8c3b0558-7a44-4231-bb02-41c13c666843;paulista-pe;3.9;Brasileira;8.5 km;46-56 min;R$ 24,99
Docevida Lanches;Não;https://www.ifood.com.br/delivery/paulista-pe/docevida-lanches-pau-amarelo/777c5db3-096e-4205-843f-9ea7d1d7d52b;paulista-pe;Novidade;Brasileira;8.5 km;40-50 min;R$ 24,99
Vive! Food;Não;https://www.ifood.com.br/delivery/paulista-pe/vive-food-centro/113bd840-ba37-4128-8f6d-c70ba502fbd9;paulista-pe;Novidade;Lanches;8.6 km;44-54 min;R$ 24,99
The B Burgers Paulista Shopping North Way;Não;https://www.ifood.com.br/delivery/paulista-pe/the-b-burgers-paulista-shopping-north-way-centro/2daf473c-c49f-4bc4-9ae2-2fa80aeffa7a;paulista-pe;Novidade;Lanches;8.6 km;49-59 min;R$ 24,99
Cia dos Churros;Não;https://www.ifood.com.br/delivery/paulista--pe/cia-dos-churros-centro/3f1296f2-2192-4fac-b799-9b12bd7b2b31;paulista--pe;4.8;Doces & Bolos;8.6 km;47-57 min;R$ 24,99
Chiquinho Sorvetes - Paulista 01;Não;https://www.ifood.com.br/delivery/paulista-pe/chiquinho-sorvetes---paulista-01-centro/3fc5d58b-1779-4f82-af72-47f38afc5ca4;paulista-pe;4.6;Sorvetes;8.6 km;57-67 min;R$ 24,99
Lefu Restaurante;Não;https://www.ifood.com.br/delivery/paulista-pe/lefu-restaurante-centro/09d5b2d8-193f-46c9-99be-9564afe7b90a;paulista-pe;4.4;Brasileira;8.6 km;69-79 min;R$ 24,99
Fritos: Só no Exagero;Sim;https://www.ifood.com.br/delivery/paulista-pe/fritos-so-no-exagero-paratibe/87bcd88a-0cb8-486f-9c5e-d463a9f43284;paulista-pe;4.8;Salgados;8.6 km;50-60 min;R$ 20,99
Açai Toda Hora;Não;https://www.ifood.com.br/delivery/paulista-pe/acai-toda-hora-paratibe/50634f01-6409-422e-b350-64bfea58142f;paulista-pe;4.6;Açaí;8.6 km;42-52 min;R$ 24,99
Paço Real - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/paco-real---norte-way-centro/e2b392f1-807f-4ca7-85ea-d13d8b3001cc;paulista-pe;4.2;Brasileira;8.6 km;67-77 min;R$ 24,99
Coxinha no Pote North Way Shopping;Não;https://www.ifood.com.br/delivery/recife-pe/coxinha-no-pote-north-way-shopping-centro/a821eee6-6f44-4709-935d-ecf4e3b49294;recife-pe;4.7;Lanches;8.6 km;60-70 min;R$ 24,99
Saladelli;Não;https://www.ifood.com.br/delivery/paulista-pe/saladelli-centro/648a0de8-f1a2-45bd-9bf0-6059f1b2806e;paulista-pe;4.8;Saudável;8.6 km;62-72 min;R$ 24,99
Giraffas North Way;Não;https://www.ifood.com.br/delivery/paulista-pe/giraffas-north-way-centro/b21da77b-79ee-487d-a018-22796c534cd2;paulista-pe;4.7;Brasileira;8.6 km;81-91 min;R$ 24,99
Pizzeto - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzeto---norte-way-centro/9de23814-88e5-4c21-8063-7fcf2dcc9ba7;paulista-pe;4.7;Pizza;8.6 km;70-80 min;R$ 24,99
Paço Oriente - Norte Way;Não;https://www.ifood.com.br/delivery/paulista-pe/paco-oriente---norte-way-centro/e4d55b26-6cf4-46c0-bd65-630b2f3995b9;paulista-pe;4.0;Japonesa;8.6 km;70-80 min;R$ 24,99
Saffari Marmitas - Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/saffari-marmitas---paulista-centro/ebe88eb8-afad-46a0-9c63-70d3e3607ac7;paulista-pe;4.7;Marmita;8.6 km;75-85 min;R$ 24,99
Pizzaria Atlântico Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/pizzaria-atlantico-paulista-centro/08d89c7a-2768-4d96-a3c3-dd0f52486359;paulista-pe;4.7;Pizza;8.7 km;67-77 min;R$ 24,99
Atlântico Burger - Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/atlantico-burger---paulista-centro/affe13dc-5d3d-4a42-9af6-e30da10ca9d9;paulista-pe;4.9;Lanches;8.7 km;65-75 min;R$ 24,99
Gabi Refeições;Não;https://www.ifood.com.br/delivery/paulista-pe/gabi-refeicoes-nossa-senhora-do-o/073f4d48-8773-4220-81e8-059119dd1d36;paulista-pe;4.2;Brasileira;8.8 km;42-52 min;R$ 24,99
Cantinho da Maria;Não;https://www.ifood.com.br/delivery/paulista-pe/cantinho-da-maria-pau-amarelo/b52d496b-d1de-4b4c-9fe8-2f405ce64f22;paulista-pe;4.2;Brasileira;8.9 km;46-56 min;R$ 24,99
Saladacom;Não;https://www.ifood.com.br/delivery/paulista-pe/saladacom-pau-amarelo/c817d656-4f65-4ec6-a5c4-c216ef47f0ba;paulista-pe;2.5;Saudável;8.9 km;47-57 min;R$ 24,99
Vivaz Açaí e Pastelaria;Não;https://www.ifood.com.br/delivery/paulista-pe/vivaz-acai-e-pastelaria-centro/4141fe86-e42e-402a-b848-165773e8e214;paulista-pe;4.6;Lanches;8.9 km;48-58 min;R$ 24,99
Hayako Jardim Paulista;Não;https://www.ifood.com.br/delivery/paulista-pe/hayako-jardim-paulista-jardim-paulista/bd1f8e5c-697b-4bff-9802-c22273caf154;paulista-pe;Novidade;Japonesa;9.0 km;52-62 min;R$ 24,99
Coxinharia e Temakeria Ladislau;Não;https://www.ifood.com.br/delivery/paulista-pe/coxinharia-e-temakeria-ladislau-maranguape-ii/a1974c68-c3b9-47ad-a64d-cd46e3e4381b;paulista-pe;4.8;Brasileira;9.0 km;51-61 min;R$ 24,99
Yakissoba Delivery;Não;https://www.ifood.com.br/delivery/paulista-pe/yakissoba-delivery-maranguape-ii/a396c296-0bd9-4e35-b942-a84615f99a5b;paulista-pe;3.4;Chinesa;9.0 km;52-62 min;R$ 24,99
Hot Dog Coreano;Não;https://www.ifood.com.br/delivery/paulista-pe/hot-dog-coreano-pau-amarelo/52fb6b82-f2bc-44d2-a1ba-e9e2762a9aa2;paulista-pe;4.3;Salgados;9.1 km;47-57 min;R$ 24,99
